"","sa2code","median_1br_apt","median_2br_apt","median_3br_apt","median_4above_apt","median_1br_h","median_2br_h","median_3br_h","median_4above_h"
"1",401011001,320,450,525,700,178,440,500,475
"2",401011002,315,363,540,NA,363,473,530,708
"3",404011093,266.5,317.5,439,525,180,384,444,475
"4",404021102,193.5,279,360,464,195,249,399,417.5
"5",404011090,265,310,435,625,179.5,320,440,480
"6",404011097,265,283,415,403,225,310,415,440
"7",404011091,238,325,440,625,54,363,440,500
"8",404021101,264,283,385,NA,225,363,415,508
"9",404011094,210,280,440,NA,225,363,415,508
"10",404021099,280,325,385,NA,375,408,435,543
"11",404021100,190,300,459,NA,NA,326.5,400,510
"12",404011096,250,329,510,445,397.5,369,506.5,655
"13",404011092,232.5,331.5,540,572.5,297.5,512.5,525,700
"14",404011095,229,311.5,545,535,199.5,422.5,505,600
"15",404031105,245,330,430,700,250,500,480,700
"16",404031109,245,330,430,700,250,500,480,700
"17",404031108,202,319,405,585,195,400,450,559
"18",404031106,220,295,410,NA,165,373,480,573
"19",404031107,255,310,410,520,252.5,370,450,575
"20",401071023,257,348,398,492.5,320,450,515,670
"21",403021058,232,301.5,401.5,520,210,335,440,580
"22",403021062,185,320,450,NA,210,370,450,590
"23",403031068,248.5,292.5,356.5,NA,210,372.5,450,570
"24",403031070,251.5,295,327.5,NA,180,352.5,455,525
"25",403021061,185,290,375,150,155,355,430,490
"26",403031066,227.5,295,362.5,NA,180,320,415,550
"27",403011057,202.5,335,529,630,322.5,419,505,787.5
"28",403021064,250,310,410,150,155,405,450,460
"29",403021060,210.5,312.5,435,150,155,384,436.5,505
"30",403041077,244,310,405,280,157.5,340,415,460
"31",403011056,273.5,342.5,457.5,NA,NA,424,454,607.5
"32",403021059,286.5,322.5,465,410,NA,349,426.5,505
"33",403031067,225,335,NA,NA,100,400,450,541.5
"34",403041076,225,327.5,NA,NA,130,342.5,415,501.5
"35",403031065,223,320,345,NA,200,405,563,630
"36",401071024,280,360,450,577.5,265,450,590,650
"37",403031069,211.5,330,440,NA,300,407.5,581.5,685
"38",401031012,269.5,359,440,650,240,450,572.5,665
"39",401031013,284,358,440,650,265,440,528,725
"40",401031011,282.5,335,512.5,NA,266.5,435.5,495,702.5
"41",401051017,282.5,335,520,NA,318,435.5,509,737.5
"42",401051018,280,335,450,NA,140,396.5,487.5,650
"43",401051019,270,332.5,382.5,NA,140,390,490,650
"44",401021010,300,322.5,472.5,NA,100,415,470,570
"45",401041016,297.5,325,482.5,600,100,440,469,545
"46",401041015,210,290,438,540,216.5,325,408,460
"47",401041014,230,307.5,434,450,258,NA,386.5,525
"48",402051051,230,300,404,450,258,310,401.5,462.5
"49",401061020,300,350.5,457.5,NA,170,404,465,650
"50",401061022,345,393,480,NA,170,413,520,730
"51",401061021,258,325,443,NA,NA,400,438,475
"52",402031036,245,316.5,420,485,224,382.5,410,484
"53",402031037,237.5,287.5,350,605,162.5,307.5,385,460
"54",402031038,245,300,365,485,219,360,400,493
"55",402051052,NA,299,349,NA,160,74,380,437.5
"56",402051054,245,300,310,NA,180,385,390,440
"57",402051055,245,300,380,NA,180,NA,390,440
"58",402041041,NA,291.5,404,NA,NA,320,375,462.5
"59",402051053,NA,315,350,NA,NA,296,390,435
"60",402041040,NA,287.5,350,725,105,257.5,369,420
"61",402041172,247.5,333,378,538,NA,340,388.5,540
"62",402041171,260,333,364,449,180,295,350,400
"63",402041043,220,NA,350,360,180,226,350,400
"64",402041044,194,250,320,NA,175,285,325,390
"65",402041046,188,256.5,332.5,NA,187,287.5,340,410
"66",402041048,194,250,320,NA,175,285,325,390
"67",402041047,182,296.5,340,NA,199,320,362.5,460
"68",402021035,NA,NA,NA,NA,NA,295,355,430
"69",402021030,188,215,320,NA,175,240,280,390
"70",402021031,174.5,215,307.5,650,175,240.5,277.5,325
"71",402021029,125,242.5,295,650,175,240.5,297.5,330
"72",402021034,89,242.5,315,650,175,241,320,390
"73",401021003,89,300,339,NA,175,340,375,420
"74",402011026,89,270,325,NA,175,288,330,420
"75",402021028,89,270,NA,NA,175,240,320,400
"76",402021033,152,270,317.5,NA,175,265,340,444
"77",402051049,89,300,335,NA,175,290,347.5,445
"78",402021032,70,238,330,NA,NA,266,375,425
"79",402011025,215,280,310,NA,NA,299,340,449
"80",402051050,NA,330,335,NA,NA,340,375,490
"81",401021004,237.5,380,450,NA,350,400,480,530
"82",401021005,210,380,450,NA,365,385,470,460
"83",401021008,180,310,350,380,307.5,340,353,433
"84",403041075,210,355,NA,NA,262.5,395,365,425
"85",407011146,NA,330,NA,NA,365,385,347.5,400
"86",407011147,200,275,390,280,255,285,320,410
"87",403021063,320,310,NA,410,NA,330,415,460
"88",403041080,320,315,NA,410,160,335,397.5,470
"89",403041071,NA,320,NA,NA,160,340,380,480
"90",403041086,356,320,360,NA,NA,NA,360,450
"91",403041084,255,285,348,NA,NA,276,350,435
"92",403041085,255,285,348,NA,NA,276,350,435
"93",403041089,245,285,324,NA,175,273,339,415
"94",403041078,235,NA,300,NA,175,270,328,395
"95",403041079,235,NA,300,NA,175,270,328,395
"96",403041073,202,229.5,297,NA,140,233,335,477.5
"97",403041074,228,285,370,425,175,295,350,410
"98",403041087,213.5,303,380,450,220,256,361.5,445
"99",403041083,213.5,315,325,NA,220,220.5,350,450
"100",403041088,NA,350,NA,280,NA,335,374,497.5
"101",407011149,179,244,480,280,307.5,300,335,420
"102",403041072,NA,270,300,NA,350,305,335,417.5
"103",407011148,198,268,480,NA,255,280,330,420
"104",407011144,200,272.5,300,NA,250,269,330,400
"105",407011145,NA,215,NA,NA,NA,200,298,300
"106",407031164,215,308,343,NA,153,295,350,390
"107",405011110,215,268,305,NA,200,289,340,402.5
"108",407031166,160,232.5,250,NA,201.5,250,280,325
"109",401021006,NA,297.5,350,NA,NA,340,364,540
"110",401021007,150,300,360,380,250,340,428,474
"111",401021009,NA,290,350,NA,NA,NA,353,425
"112",407031165,160,195,250,NA,250,233,280,300
"113",407031169,200,160,NA,NA,NA,195,247.5,307.5
"114",407021151,155,195,275,NA,175,230,253,313
"115",407021157,180,203,275,NA,175,252.5,250,280
"116",407021154,160,203,275,NA,175,245,265,313
"117",407021155,160,203,275,NA,175,245,265,313
"118",407021156,160,205.5,275,NA,175,232.5,225,296.5
"119",407021158,150,195,NA,NA,NA,245,250,330
"120",407021150,NA,208,NA,NA,NA,220,230,320
"121",407021152,150,195,NA,NA,NA,230,250,280
"122",407021173,185,214,278,NA,155,259,266,377.5
"123",407021174,185,214,278,NA,155,259,266,377.5
"124",407031161,120,NA,NA,NA,NA,NA,220,NA
"125",407031163,150,192.5,360,NA,195,242.5,262.5,307.5
"126",405021118,180,185,NA,NA,NA,230,275,255
"127",407031170,155,200,NA,NA,195,240,290,290
"128",407031159,180,200,255,NA,192.5,260,265,290
"129",407031162,163,185,360,NA,NA,245,288,325
"130",407031168,190,210,255,NA,190,267.5,265,370
"131",407031167,NA,210,NA,NA,NA,275,290,365
"132",407031160,190,220,255,NA,190,260,265,370
"133",405011111,150,248,305,NA,195,261.5,307.5,422.5
"134",405011112,NA,268,NA,NA,200,310,345,457.5
"135",405011115,NA,258,305,NA,NA,268,335,402.5
"136",405011114,NA,248,305,NA,NA,268,330,415
"137",405021119,135,225,260,NA,225,225,280,359
"138",405021117,106,176,260,NA,230,250,300,265
"139",406021141,200,185,185,NA,NA,196.5,225,NA
"140",405031120,190,172,NA,NA,NA,182.5,220,260
"141",405031121,175,167.5,500,NA,187,255,250,330
"142",406021140,210,195,500,NA,240,260,250,370
"143",405021116,106,245,260,NA,230,265,298,373
"144",405011113,140,181,NA,NA,NA,NA,295,358
"145",405031123,140,140,NA,NA,134,240,280,297.5
"146",402011027,NA,NA,NA,NA,NA,NA,340,358
"147",405031122,140,140,NA,NA,134,210,210,330
"148",405041124,NA,NA,NA,NA,NA,285,280,365
"149",405041127,150,190,NA,350,190,250,270,300
"150",405041125,152.5,172.5,NA,350,220,250,275,315
"151",405041126,155,155,NA,NA,220,250,275,315
"152",405041128,NA,NA,NA,NA,200,NA,254,345
"153",406011136,167.5,195,260,NA,NA,194,290,360
"154",406011131,NA,NA,225,NA,NA,180,240,250
"155",406011130,179,225,295,440,190,254,314,360
"156",406011133,193,240,295,440,190,260,314,345
"157",406011132,NA,NA,NA,NA,NA,310,308,280
"158",406011134,196.5,190,NA,NA,185,242.5,290,287.5
"159",406011129,193,210,NA,NA,NA,275,300,275
"160",406011135,193,210,NA,NA,NA,275,300,275
"161",406021142,210,195,500,NA,240,260,265,405
"162",406021139,NA,185,185,NA,NA,173,250,NA
"163",406021143,220,300,NA,310,NA,300,340,450
