SA2_MAIN16,sa2_name,yr_2016,yr_2021,yr_2026,yr_2031,yr_2036
406021139,Coober Pedy,1818,1775,1757,1731,1705
406021138,APY Lands,2498,2455,2556,2604,2646
406011133,Port Lincoln,16198,16297,16360,16474,16598
407031170,Waikerie,6744,6853,6971,7056,7106
406011132,Le Hunte - Elliston,2317,2251,2217,2180,2144
406011129,Ceduna,2680,2586,2554,2520,2486
405041128,Yorke Peninsula - South,4030,4017,4042,4060,4063
406011131,Kimba - Cleve - Franklin Harbour,4360,4212,4154,4099,4043
406011130,Eyre Peninsula,6667,6583,6681,6685,6697
405041125,Moonta,4938,5369,5817,6232,6593
405041124,Kadina,5416,5621,5840,6036,6200
405041127,Yorke Peninsula - North,7261,7395,7556,7695,7815
405041126,Wallaroo,4123,4371,4648,4898,5107
407031169,The Coorong,5538,5619,5652,5656,5631
405031121,Peterborough - Mount Remarkable,5506,5487,5498,5498,5479
405031120,Jamestown,4661,4651,4670,4670,4684
405031123,Port Pirie Region,3365,3415,3452,3468,3491
405031122,Port Pirie,14347,14422,14524,14576,14590
405021117,Gilbert Valley,4991,5181,5350,5482,5597
405021116,Clare,4170,4262,4412,4571,4682
405021119,Wakefield - Barunga West,9651,9888,10153,10373,10560
405021118,Goyder,4264,4259,4290,4301,4302
405011113,Mallala,3226,3324,3386,3478,3546
405011112,Lyndoch,6318,6569,6786,7031,7237
407031164,Mannum,6333,6535,6772,6967,7116
405011115,Tanunda,4704,4869,5072,5247,5391
405011114,Nuriootpa,6723,7148,7460,7737,7967
404031108,Richmond (SA),16975,17259,18171,19188,19820
405011111,Light,9187,9650,10162,10668,11091
405011110,Barossa - Angaston,6266,6514,6817,7087,7315
404031105,Fulham,2752,2785,2798,2838,2917
404031107,Plympton,24828,25653,26736,28025,29517
404031106,Lockleys,13016,13388,13754,14243,14771
404021101,Port Adelaide,10987,11456,12415,13732,14924
407031163,Loxton Region,1735,1718,1695,1665,1629
404011097,Woodville - Cheltenham,17929,19363,20289,20836,21606
404011096,West Lakes,14841,15037,15730,16550,17517
404021099,Largs Bay - Semaphore,14824,14859,15515,16350,16913
404011093,Hindmarsh - Brompton,18158,19491,20727,22212,23924
404011092,Henley Beach,15273,15471,15853,16316,16936
404011095,Seaton - Grange,16805,18251,18897,19658,20483
404011094,Royal Park - Hendon - Albert Park,6010,6229,6270,6362,6537
403041089,Woodcroft,11558,11518,11523,11597,11704
403041088,Willunga,3470,3521,3544,3591,3719
407031166,Murray Bridge Region,3716,3805,3893,3961,4010
404011091,Flinders Park,14866,15442,16290,17112,17900
404011090,Beverley,7936,8585,9073,9496,9864
403041085,Morphett Vale - West,9591,9983,10053,10166,10263
403041084,Morphett Vale - East,13739,13994,14047,14179,14320
403041087,Seaford (SA),22828,24783,25861,26714,27662
403041086,Reynella,10231,10230,10333,10484,10623
403041083,McLaren Vale,6090,7260,8505,8743,8832
403041077,Flagstaff Hill,10771,10982,11372,11782,12048
403041076,Coromandel Valley,4435,4391,4408,4447,4546
407031165,Murray Bridge,18196,19243,20385,21351,22150
403041079,Hackham West - Huntfield Heights,7651,7728,7781,7863,8000
403041078,Hackham - Onkaparinga Hills,6352,6530,6953,7813,8906
403041073,Christie Downs,9499,9525,9587,9987,10428
403041072,Aldinga,15627,16374,18443,19410,19945
403041075,Clarendon,2739,2762,2812,2826,2887
403031069,Mitcham (SA),16349,16413,16541,16762,17037
403031068,Colonel Light Gardens,15933,15879,15945,16083,16197
403041071,Aberfoyle Park,11863,11747,11776,11858,11952
403031070,Panorama,8324,8430,8572,8727,8843
403031065,Belair,4686,4703,4723,4771,4885
407031160,Berri,4211,4216,4221,4213,4190
403021064,Warradale,15173,16936,17736,18345,18573
403031067,Blackwood,12307,12758,13379,13546,13865
403031066,Bellevue Heights,7569,7609,7873,8370,9137
403021061,Mitchell Park,15405,16559,17840,19241,19828
403021060,Marino - Seaview Downs,9535,9755,10358,11091,11234
403021063,Sheidow Park - Trott Park,10306,10730,11186,11559,11653
403021062,Morphettville,14982,16157,17088,17879,18426
403011057,Glenelg (SA),20632,20956,21292,21753,22076
403011056,Brighton (SA),14202,14491,14759,15046,15260
403021059,Hallett Cove,12734,12860,12904,13027,13216
407031159,Barmera,6671,6674,6690,6677,6639
403021058,Edwardstown,13862,14281,14908,15433,15826
402051053,Modbury Heights,19205,19349,19777,20082,20341
402051052,Hope Valley - Modbury,16710,17341,18301,19067,19646
402051055,St Agnes - Ridgehaven,12572,13158,13916,14548,15066
402051054,Redwood Park,16212,16498,16985,17356,17663
402051049,Golden Grove,10459,10545,10795,10969,11114
402041172,Pooraka - Cavan,7863,8075,8365,8579,8750
402051051,Highbury - Dernancourt,10648,10971,11465,11907,12250
402051050,Greenwith,9127,9070,9209,9316,9416
402041047,Salisbury East,17731,18070,18570,18963,19306
407031162,Loxton,5491,5659,5766,5848,5889
402041046,Salisbury,17811,18408,19115,19692,20134
402041171,Mawson Lakes - Globe Derby Park,13650,14325,14833,15030,15186
402041048,Salisbury North,17512,18199,18700,19108,19464
402041041,Para Hills,14853,15163,15694,16147,16532
402041044,Paralowie,16989,17905,18267,18566,18891
402031038,Windsor Gardens,20696,21825,23422,24651,25525
402031037,Northgate - Oakden - Gilles Plains,25130,28013,30559,32888,34801
402041040,Ingle Farm,15135,15287,15861,16360,16758
402021034,Smithfield - Elizabeth North,12337,12675,13115,13482,13799
407031161,Karoonda - Lameroo,3096,3087,3087,3070,3039
402021033,One Tree Hill,2537,2617,2667,2700,2734
402031036,Enfield - Blair Athol,23761,25241,26914,28358,29400
402021030,Elizabeth,10463,10612,10972,11250,11449
402021029,Davoren Park,17966,18382,19096,19559,19946
402021032,Munno Para West - Angle Vale,12336,16784,20551,25142,29829
402021031,Elizabeth East,13066,13625,14177,14588,14913
402011026,Gawler - South,20062,23563,26768,30323,33978
402011025,Gawler - North,9343,9733,10423,11183,11971
402021028,Craigmore - Blakeview,18365,20789,23364,26131,29204
407021158,Wattle Range,3361,3368,3397,3419,3434
402011027,Lewiston - Two Wells,5686,6102,6212,6281,6378
401061022,Walkerville,7781,7969,8225,8439,8622
401061021,Prospect,14847,15312,15973,16547,17063
401071024,Unley - Parkside,20835,20789,21064,21514,21967
401071023,Goodwood - Millswood,18104,18003,18176,18563,18965
401051018,Payneham - Felixstow,12632,12692,12906,13136,13341
401051017,Norwood (SA),10397,11055,11727,12342,12826
401061020,Nailsworth - Broadview,6277,6209,6336,6474,6587
401051019,St Peters - Marden,13367,13403,13618,13756,13895
401041014,Athelstone,9326,9469,9672,9921,10176
407021157,Tatiara,6817,6892,6921,6935,6934
401031013,Toorak Gardens,16229,16527,17546,17926,18117
401041016,Rostrevor - Magill,22085,23072,23888,24671,25334
401041015,Paradise - Newton,20034,20900,21845,22679,23344
401021010,Uraidla - Summertown,5529,5815,5987,5904,5852
401021009,Nairne,5124,5496,5836,6097,6228
401031012,Glenside - Beaumont,9862,9957,10014,10143,10283
401031011,Burnside - Wattle Park,19125,19148,19220,19419,19659
401021006,Lobethal - Woodside,9101,9058,9049,9149,9264
401021005,Hahndorf - Echunga,4550,4515,4559,4645,4730
401021008,Mount Barker Region,6341,6473,6716,6895,7118
407021174,Mount Gambier - West,14422,14760,15133,15447,15704
401021007,Mount Barker,17639,20217,22833,25649,28526
401011002,North Adelaide,7267,7264,7489,7756,7968
401011001,Adelaide,16285,20354,22882,25849,29148
401021004,Aldgate - Stirling,17966,17839,17714,17652,17567
401021003,Adelaide Hills,6914,6783,6695,6651,6648
407031168,Renmark Region,4960,4990,5021,5026,5005
407021173,Mount Gambier - East,15110,15440,15825,16148,16413
407021154,Naracoorte,6208,6394,6560,6699,6811
407021152,Millicent,5396,5378,5385,5380,5364
407021156,Penola,3227,3229,3244,3252,3253
407021155,Naracoorte Region,2336,2330,2314,2295,2277
407011149,Yankalilla,5858,6277,6708,7108,7490
407011148,Victor Harbor,14719,15707,16691,17620,18503
407021151,Kingston - Robe,3828,3897,3954,4002,4041
407021150,Grant,5984,6156,6352,6519,6658
407011145,Kangaroo Island,4836,5094,5338,5561,5777
407031167,Renmark,4820,4921,5039,5137,5184
407011144,Goolwa - Port Elliot,11435,12098,12831,13488,14112
407011147,Strathalbyn Region,7546,8151,8796,9402,9982
407011146,Strathalbyn,7291,7908,8621,9295,9951
406021141,Outback,2712,2631,2596,2550,2503
406021140,Quorn - Lake Gilles,2201,2096,2022,1981,1943
406021143,Roxby Downs,4057,3933,3936,3924,3907
406021142,Port Augusta,14053,13907,14104,14240,14358